Tick;Step;DateTime;Area;Camp;Crop_YieldA;Crop_YieldB;Fire_Data;Harvest_Data;Latitude;Longitude;Patch_ID;Patch_Population;test_count;X;Y;ID
87;87;2001-09-01T00:00:00.0000000;11.7633;Hartman;2023917.1994575518;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;1641019;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
88;88;2001-09-08T00:00:00.0000000;11.7633;Hartman;2023917.1994575518;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;1667536;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
89;89;2001-09-15T00:00:00.0000000;11.7633;Hartman;2023917.1994575518;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;1694288;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
90;90;2001-09-22T00:00:00.0000000;11.7633;Hartman;2023917.1994575518;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;1720880;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
91;91;2001-09-29T00:00:00.0000000;11.7633;Hartman;2023917.1994575518;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;1747310;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
92;92;2001-10-06T00:00:00.0000000;11.7633;Hartman;2023917.1994575518;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;1773356;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
93;93;2001-10-13T00:00:00.0000000;11.7633;Hartman;2023917.1994575518;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;1799952;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
94;94;2001-10-20T00:00:00.0000000;11.7633;Hartman;2026419.3591564181;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;1826360;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
95;95;2001-10-27T00:00:00.0000000;11.7633;Hartman;2026419.3591564181;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;1852689;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
96;96;2001-11-03T00:00:00.0000000;11.7633;Hartman;2026419.3591564181;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;1879028;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
97;97;2001-11-10T00:00:00.0000000;11.7633;Hartman;2027044.8990811347;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;1906316;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
98;98;2001-11-17T00:00:00.0000000;11.7633;Hartman;2027044.8990811347;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;1932508;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
99;99;2001-11-24T00:00:00.0000000;11.7633;Hartman;2027044.8990811347;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;1958396;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
100;100;2001-12-01T00:00:00.0000000;11.7633;Hartman;2027044.8990811347;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;1985295;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
101;101;2001-12-08T00:00:00.0000000;11.7633;Hartman;2027044.8990811347;8941.95;0;2004-2010;24.16779211;-33.6982994;446;17485;1999125;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
102;102;2001-12-15T00:00:00.0000000;11.7633;Hartman;2027044.8990811347;3127.9500000000003;0;2004-2010;24.16779211;-33.6982994;446;4486;1999323;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
103;103;2001-12-22T00:00:00.0000000;11.7633;Hartman;2045099.7570778884;1994.4;0;2004-2010;24.16779211;-33.6982994;446;4299;1999856;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
104;104;2001-12-29T00:00:00.0000000;11.7633;Hartman;2045185.3251252663;1934.55;0;2004-2010;24.16779211;-33.6982994;446;4267;1999956;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
105;105;2002-01-05T00:00:00.0000000;11.7633;Hartman;2045185.3251252663;1920.15;0;2004-2010;24.16779211;-33.6982994;446;4267;1999956;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
106;106;2002-01-12T00:00:00.0000000;11.7633;Hartman;2045185.3251252663;1920.15;0;2004-2010;24.16779211;-33.6982994;446;4267;1999956;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
107;107;2002-01-19T00:00:00.0000000;11.7633;Hartman;2045185.3251252663;1920.15;0;2004-2010;24.16779211;-33.6982994;446;4267;1999956;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
108;108;2002-01-26T00:00:00.0000000;11.7633;Hartman;2045185.3251252663;1920.15;0;2004-2010;24.16779211;-33.6982994;446;4266;1999956;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
